title,noun,count
0.0MHz,중반,1
0.0MHz,심은하,1
0.0MHz,주연,1
0.0MHz,납량,1
0.0MHz,특집,1
0.0MHz,드라마,1
0.0MHz,느낌,1
10 미니츠 곤,주인공,2
10 미니츠 곤,전개도,1
10 미니츠 곤,실망,1
10 미니츠 곤,자체,1
10 미니츠 곤,전반,1
10 미니츠 곤,도도,1
10 미니츠 곤,공감,1
10 미니츠 곤,성과,1
10 미니츠 곤,개연,1
10 미니츠 곤,모습,1
10 미니츠 곤,투하,1
10 미니츠 곤,군,1
10 미니츠 곤,찾기,1
10 미니츠 곤,기억,1
10 미니츠 곤,분간,1
10 미니츠 곤,인지도,1
10 미니츠 곤,누가,1
10 미니츠 곤,게다가,1
10 미니츠 곤,이해,1
10 미니츠 곤,도무지,1
10 미니츠 곤,결말,1
10 미니츠 곤,투성이,1
100일 동안 100가지로 100퍼센트 행복찾기,재미,1
100일 동안 100가지로 100퍼센트 행복찾기,감동,1
100일 동안 100가지로 100퍼센트 행복찾기,시츄에이션,1
100일 동안 100가지로 100퍼센트 행복찾기,설정,1
100일 동안 100가지로 100퍼센트 행복찾기,독창,1
12번째 솔저,노르웨이,3
12번째 솔저,장교,2
12번째 솔저,나치,2
12번째 솔저,역경,1
12번째 솔저,별,1
12번째 솔저,나름,1
12번째 솔저,흥행,1
12번째 솔저,크게,1
12번째 솔저,실화,1
12번째 솔저,추격,1
12번째 솔저,끝,1
12번째 솔저,감동,1
12번째 솔저,정신,1
12번째 솔저,고난,1
12번째 솔저,완수,1
12번째 솔저,임무,1
12번째 솔저,거기,1
12번째 솔저,군대,1
12번째 솔저,비밀,1
12번째 솔저,작전,1
12번째 솔저,로부터,1
12번째 솔저,세계대전,1
12번째 솔저,차,1
12번째 솔저,반,1
47미터 2,역시,2
47미터 2,상어,1
47미터 2,죠스,1
47미터 2,최고,1
47미터 2,전작,1
47미터 2,후속작,1
82년생 김지영,김지영,14
82년생 김지영,모습,8
82년생 김지영,여성,7
82년생 김지영,여인,7
82년생 김지영,육아,5
82년생 김지영,복지,4
82년생 김지영,시선,4
82년생 김지영,고통,4
82년생 김지영,지영,4
82년생 김지영,보장,3
82년생 김지영,이야기,3
82년생 김지영,소설,3
82년생 김지영,인간,3
82년생 김지영,병원,3
82년생 김지영,아내,3
82년생 김지영,작품,3
82년생 김지영,현실,3
82년생 김지영,공감,3
82년생 김지영,온갖,3
82년생 김지영,야기,3
82년생 김지영,부재,3
82년생 김지영,차별,3
82년생 김지영,남성,3
82년생 김지영,대현,3
82년생 김지영,김팀,2
82년생 김지영,성적,2
82년생 김지영,커피,2
82년생 김지영,심지어,2
82년생 김지영,혜수,2
82년생 김지영,질서,2
82년생 김지영,회사,2
82년생 김지영,은영,2
82년생 김지영,언니,2
82년생 김지영,가족,2
82년생 김지영,이자,2
82년생 김지영,영화로,2
82년생 김지영,대해,2
82년생 김지영,주체성,2
82년생 김지영,갈등,2
82년생 김지영,관점,2
82년생 김지영,종속,2
82년생 김지영,현대,2
82년생 김지영,폭로,2
82년생 김지영,정신,2
82년생 김지영,해소,2
82년생 김지영,이상,2
82년생 김지영,이기,2
82년생 김지영,식구,2
82년생 김지영,재앙,2
82년생 김지영,편견,2
가버나움,자인,21
가버나움,부모,12
가버나움,작품,7
가버나움,아이,6
가버나움,대해,4
가버나움,몹쓸,4
가버나움,인간,4
가버나움,고발,4
가버나움,나이,4
가버나움,레바논,3
가버나움,일상,3
가버나움,지옥,3
가버나움,나스,3
가버나움,여동생,3
가버나움,인신매매,3
가버나움,자식,3
가버나움,아르,2
가버나움,현실,2
가버나움,인권,2
가버나움,중동,2
가버나움,세상,2
가버나움,브로커,2
가버나움,악용,2
가버나움,처지,2
가버나움,노자,2
가버나움,저항,2
가버나움,시집,2
가버나움,세계,2
가버나움,존재,2
가버나움,셀림,2
가버나움,생존,2
가버나움,비롯,2
가버나움,순간,2
가버나움,가버나움,2
가버나움,라피,2
가버나움,지옥도,2
가버나움,심지어,2
가버나움,도입,2
가버나움,법정,2
가버나움,혐의,2
가버나움,과정,2
가버나움,일자리,1
가버나움,자녀,1
가버나움,과,1
가버나움,사르,1
가버나움,다드,1
가버나움,명의,1
가버나움,생계,1
가버나움,수단,1
가버나움,소득,1
가장 보통의 연애,연애,6
가장 보통의 연애,등장,6
가장 보통의 연애,선영,5
가장 보통의 연애,공감,4
가장 보통의 연애,드라마,4
