,title,write_date,score,content
0,0.0MHz,2019-06-02,5,90년대 중반 심은하 주연 납량 특집드라마 'M' 을 다시 보는 느낌이 들었다.
1,10 미니츠 곤,2019-12-28,2,"전개도 너무 시시한데다 결말도 엄청 이상하게 지어서 내용이 뭐가 어떻게 돌아가는지 도무지 이해하기 어려운 영화였습니다! 게다가 두 주인공 중 누가 진짜 주인공인지도 분간도 어렵고, 10분간의 기억을 찾기 위하여 고군분투하는 모습도 개연성과 공감도도 떨어져서 전반적으로 너무 재미없는 영화였습니다! 내용 자체가 실망투성이였으니, 별 1개 드립니다!! more"
2,100일 동안 100가지로 100퍼센트 행복찾기,2019-09-22,6,뻔한 재미와 감동이지만 시츄에이션 설정이 독창적이었다.
3,12번째 솔저,2019-04-27,7,"제2차 세계대전 때, 나치로부터 노르웨이를 되찾기 위한 작전을 펼친 노르웨이 비밀 군대와 거기서 임무 완수하고 살아 돌아온 노르웨이 장교의 숨막히고 치열한 고난과 역경, 강인한 정신력에 이르기까지 감동적이었고, 그를 끝까지 추격한 나치 장교의 교활함까지 실화라고 믿기지 않을 정도였습니다! 하지만 크게 흥행할 정도가 아니라서 좀 아쉽기는 했으나 나름대로 볼만했으니, 별 3개 반 드립니다! more"
7,47미터 2,2019-09-06,4,상어영화는 역시 죠스가 최고.
8,47미터 2,2019-08-31,5,역시 전작 보다 뛰어난 후속작은 없었다.
10,82년생 김지영,2019-12-04,7,여성으로 살아내야 한다는 것.
11,82년생 김지영,2019-11-06,7,"공감으로 다가가, 위로의 말을 건넨다"
12,82년생 김지영,2019-11-05,10,"여자들이 수난을 당하는 건 한국만의 문제가 아니다. 국가를 초월해서  성차를 인정치 않고 남성 중심의 세계관을 공고히 하며 여자를 남자들의  성욕 풀이 대상, 남자의 대업을 이루는 데 부차적이고 조연에만 머물게 하는  몹쓸 모습은 끔찍하게도 보편화 되어 있다.  여기에 한국엔 복지가 없다. 출산만 하더라도 남자와 여자 둘이 있어야  가능한 탄생 과정인데 과거부터 공고화 된 여성 중심의 육아관은 예나  지금이나 능력 있고 충분히 자신의 역량을 펼칠 수 있는 인재들을  사장시키는데 일등 공신이다. 여기에 한국만의 특유하다고 할 수 없는  ‘어디, 여자가!’라는 시선 탓에 성차로 발생한 차별과 배제, 소외는 전반적인  삶의 질을 떨어뜨리는 것은 물론 종국적으로는 가정에 전제돼야 할 ‘행복’의  부재를 야기한다.  ‘82년생 김지영’은 분명 흔한 이름에 기혼 여성으로 육아를 담당한 한국의  엄마에 해당하는 여인이다. 그런데 이 김지영(정유미)이 아프다. 자신도  모르는 사이에 자신의 족보에서 희생과 억압의 인생을 살았던  외할머니(예수정), 친모 미숙(김미경)의 입을 빌어 얘기하게 된다.  정신질환의 일종이고 분명 육아스트레스로 인한 자아상실과 육아를 하면서  외부에서 입게 된 온갖 트라우마들이 김지영을 옥죄고 편견에 시달리게  만들고 이런 편견을 거리낌 없이 차별을 조장하는 이들은 한국 특유의  타인을 판단하고 이를 확신하는 듯 비꼬는 말을 내뱉는데 주저함이 없다.  김지영은 대현(공유)와의 결혼과 함께 행복을 보장받는 듯 했으나 대현의  출신지 부산이라는 보수성이 짙은 곳에서 겪는 고통이 발생한다. 명절을  치르고 집인 서울로 출발하려는 찰나 들이닥치는 밉살맞은 시누이 집안  식구들은 명절에 음식 만들고 온갖 잡일로 착취당한 김지영에겐 반가운 게  아니라 재앙이다.  김지영의 고통이 엄청난 재앙으로 연출되는 가운데 김지영 주변의  여인들은 김지영의 가족 친모 미숙, 언니 은영(공민정), 회사 상사  김팀장(박성연), 혜수(이봉련)에게도 들이닥친다. 김지영이 가족과 자신을  바라보는 그릇된 시선에 테러를 당한다면 김팀장과 혜수의 경우  회사에서의 승진 기회를 보장받지 못하고 심지어 신체의 자유를 몰카로  박탈당하며 회의시간 전에 커피와 차를 준비해야하는 만성적인 성차의  모습으로 한국의 후진성을 전시한다.  유부녀이자 엄마인 김지영이 사는 대한민국은 여자를 종속적 요소로만  취급한다. 만성적인 성차별 문제는 전면적으로 드러나고 더구나 같이  연대해야할 여성들이 오히려 자신들의 구닥다리 세계관을 유지 고수하며  이를 사회 질서의 금과옥조로 여기는 모습은 자신들이 남자들의 시선에  길들여졌다는 사실에 대해 분노하거나 이 문제에 대해 잘못됐음을 깨닫지  못하는 한계이자 서글픈 현실이다. 특히 지영이 어렸을 적 친 할머니가  언급하는 아들을 네 명 정도 낳아야 한다거나 교대 출신의 교사로 자아가  강하고 주체적인 지영의 언니 은영에게 큰고모가 시집을 강요하는 모습은  동일한 여성이라고 하더라도 주체성이 있는 여인이 느끼는 고통과  남자들에게 길들여져 이를 맹종하는 여성들 사이에서의 갈등이라고 할 수  있다.  작품은 82년생 김지영 만의 문제가 아닌 한국 사회가 남자가 여자를  바라보는 관점, 심지어 같은 여자이지만 종속된 늙은 여인들이 남성들의  질서에서 벗어나려는 주체성 있는 젊은 여인들을 바라보는 관점 까지 현대  한국 사회가 야기한 성차가 가득한 엄연하고 끔찍한 현실을 보여주는데  최선을 다하며 공존의 미덕과 더불어 경제규모에 걸맞지 않게 복지가 없는  실상을 폭로한다.  자신의 아내를 지켜보는 대현은 따뜻하지만 소극적이다. 아내의 고통을  치유하도록 정신과를 소개해주기도 하고 최대한 시댁 식구들로부터  방패막이가 되지만 무기력한 표정과 한국 사회의 무게에 짓눌린 모습은  아내에게 자상하고 따뜻하게 대한다고 해도 만연된 문제가 일거에 해소될  리가 없다는 방증이다.  자신의 병을 대면한 지영이 결국 병원을 찾게 되고 병원의 진찰을 받으면서  커피 매장에서 자신에게 맘충이라고 한 남성에게 당당하고 떳떳하게  부당한 처사를 따지는 모습은 김지영이 한국에서 더 이상 종속된 존재가  아닌 하나의 인간이기를 선언하는 모습이다. 김지영이 병원에서 의사에게  얘기하는 것처럼 무언가가 해소되는 듯한 기분이었다는 건 한국에서  여성들을 엄청나게 옥죄고 재능을 못 쓰게 하고 복지의 부재로 출산이라는  난관을 공유하는 시선의 부재를 질타하는 것이다.  한국 현대 사회에서 보통 가정의 여인들이 ‘여인’이라는 이유 하나만으로  온갖 차별과 억압과 부당한 대우를 받는 걸 폭로하듯 썼던 소설은 영화로  관객과 조우하며 이제 후진적이고 일제 시대 때 세뇌당한 ‘현모양처’의  환상을 제거하고 유럽 중 특히 스웨덴처럼 성차가 아닌 인간이기 때문에  존엄성을 보장받아야할 복지가 보편화 되어야 한다고 까지 피력한다.  소설이나 영화 이야기가 아닌 엄연한 현실 이야기인 ‘82년생 김지영’은  인간의 무지와 악랄함, 이로 인해 야기되는 정신적, 육체적 피로의 실체를  공감케 하며 더 이상 몹쓸 한국의 모습에서 벗어나고자 하는데 사력을  다한 작품이라고 할 수 있다. more"
13,82년생 김지영,2019-10-27,4,우리 지영이는 팔자가 참 기구하네
14,82년생 김지영,2019-10-27,10,"2016년에 출간된 베스트셀러 소설을 영화화한 작품이라길래 책으로는 보지 못 하고 영화로 봤는데, 감동과 공감도가 매우 높았으며 마음을 울컥하게 만드는 영화였습니다! 육아로 인하여 스트레스 받는 모든 부모에게 추천하기 알맞은 영화인 것 같습니다! 다만 성별 갈등이 촉발될 거라는 점이 조금 염려됩니다! 그래도 전반적으로 볼만했으니, 별 5개 드립니다!! more"
15,82년생 김지영,2019-10-24,9,나와 너와 그리고 모두의 이야기.
16,가버나움,2019-04-08,9,아이의 눈빛이 모든걸 말해주고 보여주는 영화는 처음인듯.
17,가버나움,2019-01-29,10,"자식들은 부모의 애정과 보살핌 속에서 성장해야 한다. 당연한 말이지만 이  당연함에 대해 수긍하지 못하고 자신의 자식들을 그저 순간적인 성욕  때문에 대책 없이 출산을 하고 자식을 인격체가 아닌 자신의 체면을 위한  장신구로 여기거나 심지어 인신매매를 하는 몹쓸 인간들이 이 지구상에는  넘쳐난다.  ‘가버나움’은 이런 부모를 고발하는, 심지어 출생신고서도 없어 의사가  치아상태를 보고 나이를 추정하는 지경까지 이른 자인(자인 알 라피아)의  지옥도를 사는 생존기다. 작품의 도입부에 자인은 법정에 피의자로 나와  자신을 태어나게 했다는 혐의로 부모를 고발하고 싶다는 도발적인 선언을  한다.  자인이 고발하는 부모들의 혐의는 상당히 많다. 법정 장면 이후 자인이 이  몹쓸 부모들 밑에서 살아온 과정을 보여주는 작품을 보다보면 인간된  도리로 부모들은 그 자격자체가 없는 이들이다. 자인을 비롯한 일곱 명의  자녀가 있는 셀림(파디 유세프)과 수아르(카우사르 알 하다드)는 특정한  생계 수단이 없이 소득 안정성이 떨어지는 상황인데도 일자리를 구하려는  시도조차 하지 않는다. 자인을 비롯한 아이들 출생신고를 제 때 하지 않아  이 아이들은 그 어떠한 국가가 마련해 놓은 사회 안전망에 들어올 수 없으며  특히나 의료, 보건의 경우 목숨이 오고 가는 과정에 놓여도 어떠한 치료도  받을 수 없다.  기초교육인 초등교육조차도 받지 못하는 아이들은 문맹이 되고 무능력한  부모 밑에 있다는 불행 탓에 길거리에서 온갖 짓을 다해야 한다. 자신들이  만든 주스를 팔거나 점포에 들어가 물건을 슬쩍 한다거나 12살이라는  나이가 무색하게 냉혹하고 잔인한 세계에서 사는 생존법을 자인을 터득한  것이다.  이런 직무유기도 끔찍한 데 셀림과 수아르는 자신들의 딸이자 자인의  여동생 사하르(하이타 아이잠)를 자인이 일했던 가게의 주인에게 말이  시집이지 팔려고 한다. 자인은 부모들을 향해 필사적인 저항을 해보지만  12살의 나이로 부모들의 완력을 제압하긴 힘들다.  자신의 딸을 시집이 아닌 인신매매로 보내는 광경은 21세기라는 진보와  번영의 시기에 대한 설득력을 떨어뜨리며 레바논 또한 전 세계에 존재하는  지옥 중 한 곳이라는 점이 명백해 진다.  여동생 사하르를 그렇게 잃은 자인은 한 놀이공원으로 가서 거기서 일하는  라힐(요르다노스 시프로우)을 만나고 그녀의 아들  요나스(보루와티프 프레저 반콜)가 같이 사는 집에서 얹혀살게 된다.  자인이 얹혀살면서 지켜야 할 약속은 요나스를 잘 돌보는 것이다. 자인이  라힐과 만나면서 작품은 레바논에서도 아프리카 외노자들 중 특히  여성들의 불리하고 일상이 매 순간 위기를 맞이하는 처지를 드러낸다.  약자의 처지를 악용하는 양상은 자인의 몹쓸 부모들이 자신의 11살 된  친딸을 서른이 넘은 성인 남성에게 인신매매하는 것도 모자라 이런  외노자들을 돈벌이로 악용하는 브로커들의 몹쓸 짓까지 담아내며 이런  세상에 사는 열두 살에 불과한 자인이 입만 열면 욕을 할 수 밖에 없고  매일을 전투하듯이 살아야 하는 입장이 될 수밖에 없는 것이다.  결국 요나스를 브로커에게 넘기고 집에 돌아온 자인은 자신의 여동생이  죽은 걸 알고 복수를 감행하고 작품 도입부에 재판정에 서게 되는 사건을  일으킨다. 한국의 열두 살은 한창 부모들의 품안에서 철부지로서 세상  물정을 몰라도 되는 나이지만 자인은 이미 자신을 지옥에서 어떻게 하면  사는지를 처절하게 깨달은 아이인데다가 부모들의 정신 나간 짓을 보고  자람으로써 혈연이라는 인연이 누구에게나 보편타당하게 따뜻함과  보살핌을 보장해 주지 않는다는 걸 제시한다.  미국의 야욕이 투영되고 이에 대해 평화적인 저항이 아닌 종교를 내세워  일상을 매우 불안하게 하는 중동이라는 지정학적 화약고에서 ‘가버나움’은  전쟁의 포화 없이도 이미 인권이 말살된 지옥도가 존재하는 레바논을  비추며 인간의 근본적인 악에 대해서 여과 없는 지옥의 현실을 보여줬다.  비전문 배우임에도 자인 역의 자인 알 라피아는 자신의 삶과 작품에서의  연기를 연계해 삶에 지친 한 인간의 고통을 잘 표현해 냈으며 이 작품이  그저 영화로만 끝난 것이 아니라 시리아 난민 출신인 자인이 노르웨이로  이주해 사는 데까지 도움을 줬다는 데 엄청난 의의가 있다고 할 수 있을  것이다.  작품은 여러모로 다시금 중동이라는 지역의 일상에 대해서 생각하고  무너진 인권의 재건을 촉구하는 강력한 고발의 효과도 발휘한다. more"
18,가버나움,2019-01-27,8,이 영화를 보니 지금 현실에 감사하며 살아야 한다고 느꼈다.
19,가장 보통의 연애,2019-11-25,6,"전 여친의 결별로 인하여 상처 받은 남자와 사랑을 아예 믿지 않는 여자와의 만남에서 벌어지는 로맨틱코미디영화였지만 모태솔로의 입장에서 공감도가 낮은 영화였습니다! 내용 전개는 그리 나쁘지는 않았지만, 나름대로 볼만했습니다! 로맨틱코미디도 개연성과 공감도를 함께 가질 수 있을만한 영화가 되면 좋겠으니, 별 3개 드립니다!! more"
20,가장 보통의 연애,2019-11-21,6,언제나 정답이 없는 연애의 명쾌한 해석
21,가장 보통의 연애,2019-11-14,7,평범한 이야기를 유쾌하게 풀어 가는군
22,가장 보통의 연애,2019-10-21,10,"한국 드라마를 싫어한다. 다양한 케이블 채널들이 참신하고 과감하고 영화  같은 플롯으로 일부 시청자들에게 호소하기도 하지만 막장 코드와 항상  등장하는 재벌가 싸움에 배경은 재벌들이 사는 집답게 대부분 2층 양옥집의  화려한 외관이 등장할 때가 많다. 여기서 등장하는 남녀 간의 연애도  백마 탄 왕자님이 등장하는 신데렐라 코드가 주를 이루며 빈자에서 부자로  거듭나는 성공스토리의 아주 전형성에 머무는 경우가 한 두 번이 아니라  재미를 따져 봐도 볼만한 가치가 없다.  드라마보다 상대적으로 표현수위나 여러 가지 다양성을 더 다양하게  시도할 수 있는 영화는 드라마의 고정관념을 탈피해 항상 관객의 요구에  맞는 작품을 상영관에 걸곤 했다. ‘가장 보통의 연애’는 제목처럼 한국  드라마의 물질적 성공과 그걸 바라기만 하는 수동적이고 천편일률적인  악습에서 벗어나 한국에서 살고 있는 흔하디흔한 삽 십대 직장인 남녀 간의  솔직 담백하고 어설프지만 그렇기 때문에 더 매력적인 인물들이 연애에  안착하는 보기 좋은 모습을 담은 작품이다.  중소 광고회사에 팀장인 재훈(김래원)은 결혼까지 예정한 연인의 배신으로  파혼하고 이를 잊으려 날마다 퇴근하기가 무섭게 술로 그 고통을 달래는  중이다. 이직한 선영(공효진)도 연애하던 남자친구가 바람을 피워 두 번  다시 안 볼 각오를 하고 신입사원 환영회에 찾아온 전 남친이 부드럽게  프로포즈를 하는 순간 가져온 꽃으로 전 애인을 팰 뿐이다.  재훈이 선영을 보고 매력을 느끼고 둘은 술자리부터 시작해 설왕설래를  하다가 솔직담백하다고 할 수도 있고 한국인들 특유의 술자리 버릇인  실수가 용납되는 상황연출로 두 당사자가 당혹감에 처하기도 하고 선영을  데리러온 친구를 비롯해 다른 술자리에 있는 사람들까지 곤혹스럽게  만들기도 한다.  한국적인 관점에서 이 둘의 티격태격 과 대화를 이어가는 술자리는  과음이나 폭음을 넘어서 이 둘이 가까워지는 계기가 되고 아울러  직장인들이 연애의 대상이듯 직장에서 벌어지는 주말 토요일의 산행  야유회에서 야자타임에서 사장 관수(정웅인)를 향한 미영(장소연)의  월급인상의 일갈이나 술에 취해하고 싶었던, 막말내지 쌍욕을 하는 모습은  이 땅에 사는 수많은 직장인들의 공감을 살 수 있는 부분이다.  상처를 안고 있는 이들이 대화를 통해 가까워지고 그 대화의 과정이 아주  부드럽게 전개되는 가운데 한국 직장 특유의 패거리인 뒷 담화 악습이  등장해 그 주인공인 선영은 난처함을 겪게 되고 이에 분노한 재훈이  선영에게 마련한 복수의 자리도 통쾌하다.  작품은 제목그대로 ‘보통’이라는 현대인들의 심리를 솔직 담백하게  표현하고 화려함보다 소박함으로, 그리고 나이와 상관없이 이성을 향한  욕망을 자연스레 드러내며 관객의 공감을 산다. 화려한 재력의 소유자의  등장으로 신분상승을 하는 허구의 전형성이 아닌 상처 많고 외로운 이들이  서로 그 아픔을 보듬고 사랑의 성취를 하는 장면이 돋보이는 작품이다. more"
23,가장 보통의 연애,2019-10-05,6,보면 술이 땡기는 영화
25,감쪽같은 그녀,2020-07-01,9,영화를 어떤 기준으로 보느냐에 따라 평가가 갈릴 듯... 왓챠 네티즌 평가에서 1.5 주는 사람들 보고 깜짝 놀랐다. 나이가 어려서인지... 아니면 반대로 너무 많은 것을 보아서 그런 것인지... 아무튼 잔잔한 동화적 장르로 본다면 참 괜찮은 영화.  배우들의 연기도 좋고 요즘 같은 시대에... 메마른 감정을 잘 자극하는듯 하다.  극에 다다르는 과정에서 좀 더 극단적인 연출을 했더라면 찐한 감동에 사람들은 더 열광 했을지도...  무리하지 않고 소소하게 우리내 이야기처럼 풀어낸 것이 감독의 의도였지 않을까 싶다.  어떤 요리에 대해서 절대적인 평가가 있을 순 없듯이... 우리내 경험과 입맛은 다 다르니까.  악플에 신경쓰지 마시고 자신만의 길을 가시길 바라며. more
